classes	fitness	bias_r	bias_z	bias_h	weight_xr	weight_xz	weight_xh	weight_hr	weight_hz	weight_hh	bias_rw	conn0	conn1	conn2
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.34563	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.32845	-0.18202	-1.19939	-4.28408	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.41073	-3.503	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.29564	-0.2057	-1.19939	-4.3625	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.48748	-0.16585	-1.19939	-4.50599	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.01048	-1.67358	-3.31614	-0.38191	-1.19939	-4.34563	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.35515	-0.2057	-1.19939	-3.9093	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19325	-4.34563	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31614	-0.21799	-1.19939	-4.28408	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-3.87658	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.63154	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-3.67322	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31614	-0.18202	-1.20398	-4.28408	-3.50277	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.28982	-1.19939	-4.37214	-3.6402	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.34563	-3.58997	-2.18129	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.34563	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.61042	-3.46417	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19103	-4.34563	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.5112	-0.0906	-1.19939	-4.28317	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.28982	-1.19939	-4.37214	-3.56392	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.33885	-0.28982	-1.19939	-4.37214	-3.6402	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.17101	-1.19939	-4.34563	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.36766	-0.0906	-1.19939	-4.28317	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.5112	-0.0906	-1.19939	-4.28317	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.97665
PN	1.0	3.0	-0.16196	-1.67358	-3.3266	-0.0906	-1.19939	-3.97632	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31212	-0.0906	-1.19939	-3.97632	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.28982	-1.19572	-4.37214	-3.6402	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.95531	-0.16196	-1.67358	-3.33514	0.02626	-1.19939	-4.28317	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.37302	-0.0906	-1.19939	-3.97632	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.51314	-0.28982	-1.19939	-4.37214	-3.6402	-2.19242	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.37302	-0.0906	-1.19939	-3.54336	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.18993	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	1.87597	-0.16196	-1.67358	-3.37302	-0.0906	-1.19939	-4.03763	-3.59011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.62191	-0.28982	-1.19939	-4.42832	-3.6402	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.34563	-4.06011	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.16143	-1.19939	-4.34563	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.04871	-1.19939	-4.34563	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	0.45298	-0.16018	-1.19939	-4.14116	-3.58378	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16238	-1.67358	-3.5112	-0.21174	-1.19939	-4.28317	-3.62427	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.04563	-1.19939	-4.37214	-3.6402	-2.19998	-2.5082	3.37817	-5.99768	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.38571	-0.28982	-1.19939	-4.27565	-3.6402	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.53522	-0.05944	-1.19939	-4.37214	-3.6402	-2.19242	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.38571	-0.28982	-1.19939	-4.27565	-3.6402	-2.19998	-2.5082	3.35464	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.22151	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.17228	-1.67358	-3.31614	-0.15207	-1.19939	-4.34563	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.12365	-1.67358	-3.16362	-0.28982	-1.19939	-4.37214	-3.65199	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.28982	-1.19939	-4.37214	-3.65199	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.47756	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.06715	-0.2057	-1.19939	-4.34563	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.31126	-1.19939	-4.37214	-3.68205	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.42097	-0.2057	-1.19939	-4.22151	-3.48876	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.47278	-0.2057	-1.19939	-4.22151	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-1.67036	-0.2057	-1.19939	-4.22151	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.01709	-0.2057	-1.19939	-4.22151	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31614	-0.2057	-1.19997	-4.22151	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.16718	-1.19939	-4.37214	-3.65199	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.14086	-0.16196	-1.67358	-3.18938	-0.28982	-1.19939	-4.34727	-3.65199	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.31341	-1.19939	-4.37214	-3.65199	-2.19998	-2.5082	3.35188	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.16012	-1.19939	-4.37214	-3.65199	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.14895	-1.67358	-3.42097	-0.2057	-1.19939	-4.34276	-3.58997	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-0.72182	-0.28982	-1.19939	-4.37214	-3.65199	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.81776	-0.16196	-1.67358	-0.44644	-0.2057	-1.19939	-4.34563	-3.61938	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.18938	-0.4069	-1.19939	-4.37214	-3.65199	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-0.17812	-0.16012	-1.19939	-4.51124	-3.77919	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	0.20742	-0.16012	-1.19939	-4.37214	-3.77919	-2.19998	-2.5082	3.37817	-6.0	-3.96341
